Player,Batting average,Hits,Home runs,Runs batted in,Stolen bases,Doubles,Win-loss record,Earned run average,Strikeouts,Shutouts,On-base percentage,Saves,Runs,WHIP
Bob Gibson,,,,,,,251-174,2.91,"3,117",,,,,
Harmon Killebrew,0.256,"2,086",573,"1,584",,,,,,,,,,
Willie McCovey,0.27,"2,211",521,"1,555",,,,,,,,,,
Boog Powell,0.266,,339,"1,187",,,,,,,,,,
Johnny Bench,0.267,"2,048",389,"1,376",,,,,,,,,,
Vida Blue,,,,,,,209-161,3.27,"2,175",,,,,
Joe Torre,0.297,"2,342",252,"1,185",,,,,,,,,,
Dick Allen,0.292,,351,"1,119",,,,,,,,,,
Johnny Bench,0.267,"2,048",389,"1,376",,,,,,,,,,
Reggie Jackson,0.262,"2,584",563,"1,702",,,,,,,,,,
Pete Rose,0.303,"4,256",160,"1,314",,,,,,,,,,
Jeff Burroughs,0.261,,240,882,,,,,,,,,,
Steve Garvey,0.294,,272,"1,308",,,,,,,,,,
Fred Lynn,0.283,,306,"1,111",,,,,,,,,,
Joe Morgan,0.271,"2,517",268,"1,133",689,,,,,,,,,
Thurman Munson,0.292,,113,701,,,,,,,,,,
Joe Morgan,0.271,"2,517",268,"1,133",689,,,,,,,,,
Rod Carew,0.328,"3,053",92,"1,015",,,,,,,,,,
George Foster,0.274,,348,"1,239",,,,,,,,,,
Jim Rice,0.298,"2,452",382,"1,451",,,,,,,,,,
Dave Parker,0.29,"2,712",339,"1,493",,,,,,,,,,
Don Baylor,0.26,"2,135",338,"1,276",,,,,,,,,,
Keith Hernandez,0.296,"2,182",162,"1,071",,,,,,,,,,
Willie Stargell,0.282,"2,232",475,"1,540",,,,,,,,,,
George Brett,0.305,"3,154",317,"1,596",,,,,,,,,,
Mike Schmidt,0.267,"2,234",548,"1,595",,,,,,,,,,
Rollie Fingers,,,,,,,114-118,2.9,"1,299",,,341,,
Mike Schmidt,0.267,"2,234",548,"1,595",,,,,,,,,,
Robin Yount,0.285,"3,142",251,"1,406",,,,,,,,,,
Dale Murphy,0.265,"2,111",398,"1,266",,,,,,,,,,
Cal Ripken Jr.,0.276,"3,184",431,"1,695",,,,,,,,,,
Dale Murphy,0.265,"2,111",398,"1,266",,,,,,,,,,
Willie Hernández,,,,,,,70-63,3.38,788,,,147,,
Ryne Sandberg,0.285,"2,386",282,"1,061",,,,,,,,,,
Don Mattingly,0.307,"2,153",222,"1,099",,,,,,,,,,
Willie McGee,0.295,"2,254",79,856,,,,,,,,,,
Roger Clemens,,,,,,,354-184,3.12,"4,672",,,,,
Mike Schmidt,0.267,"2,234",548,"1,595",,,,,,,,,,
George Bell,0.278,,265,"1,002",,,,,,,,,,
Andre Dawson,0.279,"2,774",438,"1,591",,,,,,,,,,
Jose Canseco,0.266,,462,"1,407",,,,,,,,,,
Kirk Gibson,0.268,,255,870,,,,,,,,,,
Robin Yount,0.285,"3,142",251,"1,406",,,,,,,,,,
Kevin Mitchell,0.284,,234,760,,,,,,,,,,
Rickey Henderson,0.279,"3,055",297,"1,115","1,406",,,,,,,,"2,295",
Barry Bonds,0.298,"2,935",762,"1,996",514,,,,,,,,,
Cal Ripken Jr.,0.276,"3,184",431,"1,695",,,,,,,,,,
Terry Pendleton,0.27,,140,946,,,,,,,,,,
Dennis Eckersley,,,,,,,197-171,3.5,"2,401",,,390,,
